Regional Member,Year,GDP Growth,Unit of Measurement,Subregion,Country Code,Source
Tuvalu,2020 forecast,2.0,%,The Pacific,TUV,Asian Development Outlook (ADO) 2020 Update (September 2020)
Tuvalu,2021 forecast,2.5,%,The Pacific,TUV,Asian Development Outlook (ADO) 2020 Update (September 2020)
Uzbekistan,2018,5.4,%,Central Asia,UZB,Asian Development Outlook (ADO) 2020 Update (September 2020)
Uzbekistan,2019,5.6,%,Central Asia,UZB,Asian Development Outlook (ADO) 2020 Update (September 2020)
Uzbekistan,2020 forecast,0.5,%,Central Asia,UZB,Asian Development Outlook (ADO) 2020 Update (September 2020)
Uzbekistan,2021 forecast,6.5,%,Central Asia,UZB,Asian Development Outlook (ADO) 2020 Update (September 2020)
Vanuatu,2018,2.9,%,The Pacific,VUT,Asian Development Outlook (ADO) 2020 Update (September 2020)
Vanuatu,2019,2.9,%,The Pacific,VUT,Asian Development Outlook (ADO) 2020 Update (September 2020)
Vanuatu,2020 forecast,-9.8,%,The Pacific,VUT,Asian Development Outlook (ADO) 2020 Update (September 2020)
Vanuatu,2021 forecast,1.0,%,The Pacific,VUT,Asian Development Outlook (ADO) 2020 Update (September 2020)
Viet Nam,2018,7.1,%,Southeast Asia,VNM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Viet Nam,2019,7.0,%,Southeast Asia,VNM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Viet Nam,2020 forecast,1.8,%,Southeast Asia,VNM,Asian Development Outlook (ADO) 2020 Update (September 2020)
Viet Nam,2021 forecast,6.3,%,Southeast Asia,VNM,Asian Development Outlook (ADO) 2020 Update (September 2020)
